"Year","Month","AvgMeanTemp","MaxTemp","MinTemp"
2016,5,29.1218120805369,36.5,22.1
2016,6,28.3682456140351,35.7,22.2
2016,7,28.3121827411168,36,21.2
2016,8,28.9281468531469,35.4,21.5
2016,9,28.3994652406417,36.8,21.8
2016,10,28.2841463414634,35.5,21.6
2016,11,27.4538033395176,35.4,0
2016,12,27.5312159709619,35.9,22.3
2017,1,27.2456310679612,35.3,21.7
2017,2,27.0407572383074,34.1,22.5
2017,3,27.3939622641509,35.7,22.1
2017,4,27.8571729957806,35.2,22.3
2017,5,28.480824742268,35,22.2
2017,6,28.6857142857143,34.9,21.8
2017,7,28.4791164658635,34.5,22.3
2017,8,28.1859232175503,34.4,21.7
2017,9,28.0820560747664,34.9,21.9
2017,10,28.2258122743682,35.6,0
2017,11,27.3709172259508,34.7,22.3
2017,12,27.4420581655481,35.5,22.3
2018,1,26.374358974359,34.9,21.2
2018,2,27.2017094017094,35.1,22
2018,3,27.8429400386847,35.7,20.5
2018,4,28.2734817813765,35.9,22
2018,5,28.4489603024575,35.4,22.4
2018,6,28.2698574338086,35,21.7
2018,7,28.4239923224568,34.4,21.1
2018,8,28.5285440613027,34.9,20.9
2018,9,27.9541082164329,35.2,21.4
2018,10,27.8332061068702,35.6,21.9
2018,11,27.3773930753564,35.3,21.2
2018,12,27.590157480315,35.4,22.4
2019,1,27.9799614643545,34.8,22.5
2019,2,28.1989154013015,35.5,21.4
2019,3,28.6888235294118,35.9,21.1
2019,4,28.6971800433839,36.4,21.5
2019,5,29.0457256461233,35,20.8
2019,6,28.3178723404255,33.9,21.6
2019,7,28.8663551401869,37.5,21.1
2019,8,28.9599214145383,34.8,21.7
2019,9,28.8161354581673,35,21.1
2019,10,27.923137254902,35.7,21.3
2019,11,27.9601214574899,35.8,22.1
2019,12,26.7781316348195,34.9,21.4
2020,1,27.6732673267327,35.4,22.1
2020,2,27.8368995633188,35.5,22.8
2020,3,28.5710526315789,36.3,22
2020,4,28.7385021097046,35.8,21.6
2020,5,28.9587991718426,35.8,22.3
2020,6,28.1225531914894,35.6,22.1
2020,7,27.8328185328185,34.6,21.4
2020,8,28.2777142857143,35.4,21.6
2020,9,27.4711422845691,34.5,20.9
2020,10,28.2717213114754,34.8,22.2
2020,11,27.3267080745342,34.9,22.3
2020,12,27.1788888888889,38,22
2021,1,25.9988909426987,33.3,21.1
2021,2,27.2820717131474,35.5,22.4
2021,3,27.7303867403315,35.6,21.5
2021,4,28.154743083004,36.3,21.6
2021,5,28.6385214007782,35.7,22.7
2021,6,28.5705323193916,35.5,22.1
2021,7,28.5754039497307,35.2,22.5
2021,8,27.5594594594595,34.9,21.8
2021,9,28.0609037328094,34.8,22
2021,10,28.5082061068702,35.5,22.3
2021,11,27.6007874015748,35.9,22.1
2021,12,27.5837573385519,37.9,22.1
2022,1,27.4202602230483,35.4,22.5
2022,2,27.1557086614173,35.5,20.4
2022,3,28.0012455516014,36.2,21.8
2022,4,27.9814616755793,36.8,22.2
2022,5,29.0383304940375,36.7,23.1
2022,6,27.7819320214669,35.1,22
2022,7,28.5239388794567,35.8,21.6
2022,8,27.8843537414966,35.1,21.7
2022,9,27.7009560229445,34.4,21.6
2022,10,27.3515274949083,35,22.1
2022,11,27.220018115942,35.6,21.8
2022,12,26.6190972222222,34.2,22.2
2023,1,26.5245614035088,34.8,22.3
2023,2,26.7646271510516,34.2,21.3
2023,3,26.7712979890311,34.9,21.1
2023,4,28.2737037037037,36.1,22
2023,5,29.2224014336918,37,21.6
2023,6,28.7510280373832,34.7,21.4
2023,7,28.4234119782214,35.4,21.8
2023,8,28.4867272727273,34.4,22
2023,9,28.5946296296296,34.9,22.4
2023,10,28.8152877697842,36.3,21.8
2023,11,27.7933333333333,35.8,22.7
2023,12,27.1551210428305,35.5,22.6
2024,1,26.8928015564202,34.8,21.8
2024,2,28.1354378818737,35.6,22.4
2024,3,28.7595922150139,36.3,22.5
2024,4,29.1985046728972,36.4,23.3
2024,5,28.9731827111984,36.1,22.7
2024,6,28.4981927710843,35.5,21.9
2024,7,29.1056365403304,35.2,21.4
2024,8,28.54,34.6,22.9
2024,9,28.6339250493097,35.7,22.2
2024,10,28.4846958174905,35.6,21.7
2024,11,27.2285574092247,35.2,22.7
2024,12,27.7194285714286,36.2,22.2
2025,1,26.5528668610301,34.3,22
NA,NA,NA,-Inf,Inf
