"Month","Year","denguecases","AvgMeanTemp","MaxTemp","MinTemp"
11,2024,426,27.2285574092247,35.2,22.7
12,2014,933,26.9425566343042,34.5,21.9
12,2015,1773,27.6092592592593,35.1,22.4
12,2016,276,27.5312159709619,35.9,22.3
12,2017,191,27.4420581655481,35.5,22.3
12,2018,510,27.590157480315,35.4,22.4
12,2019,1039,26.7781316348195,34.9,21.4
12,2020,1077,27.1788888888889,38,22
12,2021,318,27.5837573385519,37.9,22.1
12,2022,1170,26.6190972222222,34.2,22.2
12,2023,902,27.1551210428305,35.5,22.6
12,2024,391,27.7194285714286,36.2,22.2
